公告,#genre#
CCTV2,http://119.166.53.110:9901/tsfile/live/0002_3.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV2,http://116.113.72.150:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV2,http://116.113.36.219:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV2,http://120.7.86.96:808/hls/2/index.m3u8$LR•IPV4『线路6』
CCTV2,http://218.1.138.153:9003/hls/2/index.m3u8$LR•IPV4『线路7』
CCTV2,http://219.147.245.238:25480/newlive/live/hls/2/live.m3u8$LR•IPV4『线路8』
CCTV2,http://1.192.152.76:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV2,http://139.227.21.22:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV2,http://221.225.162.96:9004/hls/2/index.m3u8$LR•IPV4『线路11』
CCTV2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV2,http://58.56.162.102:4466/newlive/live/hls/2/live.m3u8$LR•IPV4『线路13』
CCTV2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8$LR•IPV4『线路14』
CCTV2,http://120.40.39.246:352/newlive/live/hls/2/live.m3u8$LR•IPV4『线路15』
CCTV2,http://113.101.119.74:8090/hls/114/index.m3u8$LR•IPV4『线路16』
CCTV2,http://182.123.208.111:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV2,http://222.240.44.42:12810/newlive/live/hls/2/live.m3u8$LR•IPV4『线路18』
CCTV2,http://112.30.73.119:229/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路19』
CCTV2,http://112.30.73.119:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV2,http://123.118.55.165:45237/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路21』
CCTV2,http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路22』
CCTV2,http://223.78.65.165:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV2,http://111.9.163.109:55555/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路24』
CCTV2,http://123.118.53.84:45237/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV2,http://110.6.204.65:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
CCTV3,http://58.19.43.66:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV3,http://119.166.53.110:9901/tsfile/live/0002_4.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV3,http://116.113.72.150:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV3,http://116.113.36.219:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV3,http://120.7.86.96:808/hls/3/index.m3u8$LR•IPV4『线路6』
CCTV3,http://218.1.138.153:9003/hls/3/index.m3u8$LR•IPV4『线路7』
CCTV3,http://219.147.245.238:25480/newlive/live/hls/3/live.m3u8$LR•IPV4『线路8』
CCTV3,http://1.192.152.76:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV3,http://139.227.21.22:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV3,http://221.225.162.96:9004/hls/3/index.m3u8$LR•IPV4『线路11』
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV3,http://58.56.162.102:4466/newlive/live/hls/3/live.m3u8$LR•IPV4『线路13』
CCTV3,http://113.57.140.161:10081/newlive/live/hls/3/live.m3u8$LR•IPV4『线路14』
CCTV3,http://120.40.39.246:352/newlive/live/hls/3/live.m3u8$LR•IPV4『线路15』
CCTV3,http://113.101.119.74:8090/hls/115/index.m3u8$LR•IPV4『线路16』
CCTV3,http://182.123.208.111:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV3,http://222.240.44.42:12810/newlive/live/hls/3/live.m3u8$LR•IPV4『线路18』
CCTV3,http://112.30.73.119:229/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路19』
CCTV3,http://112.30.73.119:229/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV3,http://112.30.73.119:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路21』
CCTV3,http://112.30.73.119:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路22』
CCTV3,http://123.118.55.165:45237/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV3,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路24』
CCTV3,http://223.78.65.165:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV3,http://111.9.163.109:55555/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
CCTV3,http://123.118.53.84:45237/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路27』
CCTV3,http://110.6.204.65:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路28』
CCTV4,http://58.19.43.66:1111/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV4,http://113.90.154.189:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV4,http://119.166.53.110:9901/tsfile/live/0002_5.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV4,http://116.113.72.150:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV4,http://116.113.36.219:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV4,http://120.7.86.96:808/hls/4/index.m3u8$LR•IPV4『线路6』
CCTV4,http://218.1.138.153:9003/hls/4/index.m3u8$LR•IPV4『线路7』
CCTV4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8$LR•IPV4『线路8』
CCTV4,http://1.192.152.76:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV4,http://139.227.21.22:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV4,http://221.225.162.96:9004/hls/4/index.m3u8$LR•IPV4『线路11』
CCTV4,http://221.7.175.154:8445/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV4,http://58.56.162.102:4466/newlive/live/hls/4/live.m3u8$LR•IPV4『线路13』
CCTV4,http://113.57.140.161:10081/newlive/live/hls/4/live.m3u8$LR•IPV4『线路14』
CCTV4,http://120.40.39.246:352/newlive/live/hls/4/live.m3u8$LR•IPV4『线路15』
CCTV4,http://113.101.119.74:8090/hls/116/index.m3u8$LR•IPV4『线路16』
CCTV4,http://182.123.208.111:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV4,http://222.240.44.42:12810/newlive/live/hls/4/live.m3u8$LR•IPV4『线路18』
CCTV4,http://112.30.73.119:229/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路19』
CCTV4,http://112.30.73.119:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV4,http://123.118.55.165:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路21』
CCTV4,http://112.123.243.37:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路22』
CCTV4,http://223.78.65.165:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV4,http://111.9.163.109:55555/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路24』
CCTV4,http://123.118.53.84:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV4,http://110.6.204.65:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
CCTV5,http://58.19.43.66:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV5,http://113.90.154.189:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV5,http://119.166.53.110:9901/tsfile/live/0002_6.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV5,http://116.113.72.150:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV5,http://116.113.36.219:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV5,http://120.7.86.96:808/hls/5/index.m3u8$LR•IPV4『线路6』
CCTV5,http://218.1.138.153:9003/hls/5/index.m3u8$LR•IPV4『线路7』
CCTV5,http://219.147.245.238:25480/newlive/live/hls/5/live.m3u8$LR•IPV4『线路8』
CCTV5,http://1.192.152.76:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV5,http://139.227.21.22:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV5,http://221.225.162.96:9004/hls/5/index.m3u8$LR•IPV4『线路11』
CCTV5,http://221.7.175.154:8445/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV5,http://58.56.162.102:4466/newlive/live/hls/5/live.m3u8$LR•IPV4『线路13』
CCTV5,http://113.57.140.161:10081/newlive/live/hls/5/live.m3u8$LR•IPV4『线路14』
CCTV5,http://120.40.39.246:352/newlive/live/hls/5/live.m3u8$LR•IPV4『线路15』
CCTV5,http://113.101.119.74:8090/hls/58/index.m3u8$LR•IPV4『线路16』
CCTV5,http://182.123.208.111:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV5,http://222.240.44.42:12810/newlive/live/hls/5/live.m3u8$LR•IPV4『线路18』
CCTV5,http://112.30.73.119:229/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路19』
CCTV5,http://112.30.73.119:229/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路21』
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路22』
CCTV5,http://123.118.55.165:45237/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV5,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路24』
CCTV5,http://223.78.65.165:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV5,http://111.9.163.109:55555/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
CCTV5,http://123.118.53.84:45237/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路27』
CCTV5,http://110.6.204.65:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路28』
CCTV5+,http://58.19.43.66:1111/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV5+,http://113.90.154.189:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV5+,http://119.166.53.110:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV5+,http://116.113.72.150:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV5+,http://116.113.36.219:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV5+,http://120.7.86.96:808/hls/16/index.m3u8$LR•IPV4『线路6』
CCTV5+,http://219.147.245.238:25480/newlive/live/hls/6/live.m3u8$LR•IPV4『线路7』
CCTV5+,http://139.227.21.22:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV5+,http://221.225.162.96:9004/hls/18/index.m3u8$LR•IPV4『线路9』
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV5+,http://58.56.162.102:4466/newlive/live/hls/6/live.m3u8$LR•IPV4『线路11』
CCTV5+,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8$LR•IPV4『线路12』
CCTV5+,http://120.40.39.246:352/newlive/live/hls/6/live.m3u8$LR•IPV4『线路13』
CCTV5+,http://113.101.119.74:8090/hls/10/index.m3u8$LR•IPV4『线路14』
CCTV5+,http://222.240.44.42:12810/newlive/live/hls/6/live.m3u8$LR•IPV4『线路15』
CCTV5+,http://123.118.55.165:45237/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路16』
CCTV5+,http://112.123.243.37:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路17』
CCTV5+,http://223.78.65.165:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路18』
CCTV5+,http://123.118.53.84:45237/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路19』
CCTV5+,http://110.6.204.65:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV6,http://58.19.43.66:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV6,http://113.90.154.189:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV6,http://119.166.53.110:9901/tsfile/live/0002_7.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV6,http://116.113.72.150:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV6,http://116.113.36.219:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV6,http://120.7.86.96:808/hls/6/index.m3u8$LR•IPV4『线路6』
CCTV6,http://218.1.138.153:9003/hls/6/index.m3u8$LR•IPV4『线路7』
CCTV6,http://219.147.245.238:25480/newlive/live/hls/7/live.m3u8$LR•IPV4『线路8』
CCTV6,http://1.192.152.76:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV6,http://139.227.21.22:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV6,http://221.225.162.96:9004/hls/6/index.m3u8$LR•IPV4『线路11』
CCTV6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV6,http://58.56.162.102:4466/newlive/live/hls/7/live.m3u8$LR•IPV4『线路13』
CCTV6,http://113.57.140.161:10081/newlive/live/hls/7/live.m3u8$LR•IPV4『线路14』
CCTV6,http://120.40.39.246:352/newlive/live/hls/7/live.m3u8$LR•IPV4『线路15』
CCTV6,http://113.101.119.74:8090/hls/118/index.m3u8$LR•IPV4『线路16』
CCTV6,http://182.123.208.111:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV6,http://222.240.44.42:12810/newlive/live/hls/7/live.m3u8$LR•IPV4『线路18』
CCTV6,http://112.30.73.119:229/tsfile/live/0006_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路19』
CCTV6,http://112.30.73.119:229/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV6,http://112.30.73.119:9901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路21』
CCTV6,http://112.30.73.119:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路22』
CCTV6,http://123.118.55.165:45237/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV6,http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路24』
CCTV6,http://223.78.65.165:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV6,http://123.118.53.84:45237/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
CCTV6,http://110.6.204.65:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路27』
CCTV7,http://58.19.43.66:1111/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV7,http://113.90.154.189:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV7,http://119.166.53.110:9901/tsfile/live/0002_8.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV7,http://116.113.72.150:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV7,http://116.113.36.219:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV7,http://120.7.86.96:808/hls/7/index.m3u8$LR•IPV4『线路6』
CCTV7,http://218.1.138.153:9003/hls/7/index.m3u8$LR•IPV4『线路7』
CCTV7,http://219.147.245.238:25480/newlive/live/hls/8/live.m3u8$LR•IPV4『线路8』
CCTV7,http://1.192.152.76:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV7,http://139.227.21.22:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV7,http://221.225.162.96:9004/hls/7/index.m3u8$LR•IPV4『线路11』
CCTV7,http://221.7.175.154:8445/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV7,http://58.56.162.102:4466/newlive/live/hls/8/live.m3u8$LR•IPV4『线路13』
CCTV7,http://113.57.140.161:10081/newlive/live/hls/8/live.m3u8$LR•IPV4『线路14』
CCTV7,http://120.40.39.246:352/newlive/live/hls/8/live.m3u8$LR•IPV4『线路15』
CCTV7,http://113.101.119.74:8090/hls/119/index.m3u8$LR•IPV4『线路16』
CCTV7,http://182.123.208.111:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV7,http://222.240.44.42:12810/newlive/live/hls/8/live.m3u8$LR•IPV4『线路18』
CCTV7,http://123.118.55.165:45237/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路19』
CCTV7,http://112.123.243.37:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路20』
CCTV7,http://223.78.65.165:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路21』
CCTV7,http://123.118.53.84:45237/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路22』
CCTV7,http://110.6.204.65:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV8,http://58.19.43.66:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV8,http://113.90.154.189:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV8,http://119.166.53.110:9901/tsfile/live/0002_9.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV8,http://116.113.72.150:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV8,http://116.113.36.219:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV8,http://120.7.86.96:808/hls/8/index.m3u8$LR•IPV4『线路6』
CCTV8,http://218.1.138.153:9003/hls/8/index.m3u8$LR•IPV4『线路7』
CCTV8,http://219.147.245.238:25480/newlive/live/hls/9/live.m3u8$LR•IPV4『线路8』
CCTV8,http://1.192.152.76:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV8,http://139.227.21.22:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV8,http://221.225.162.96:9004/hls/8/index.m3u8$LR•IPV4『线路11』
CCTV8,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV8,http://58.56.162.102:4466/newlive/live/hls/9/live.m3u8$LR•IPV4『线路13』
CCTV8,http://113.57.140.161:10081/newlive/live/hls/9/live.m3u8$LR•IPV4『线路14』
CCTV8,http://120.40.39.246:352/newlive/live/hls/9/live.m3u8$LR•IPV4『线路15』
CCTV8,http://113.101.119.74:8090/hls/120/index.m3u8$LR•IPV4『线路16』
CCTV8,http://182.123.208.111:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV8,http://222.240.44.42:12810/newlive/live/hls/9/live.m3u8$LR•IPV4『线路18』
CCTV8,http://112.30.73.119:229/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路19』
CCTV8,http://112.30.73.119:229/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV8,http://112.30.73.119:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路21』
CCTV8,http://112.30.73.119:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路22』
CCTV8,http://123.118.55.165:45237/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路23』
CCTV8,http://112.123.243.37:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路24』
CCTV8,http://223.78.65.165:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV8,http://123.118.53.84:45237/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
